Year,China,France,Japan,Singapore,South Korea,United Kingdom,United States
1970,66.21092,67.361115,62.476692,54.800648,62.261425,72.36952,66.451416
1971,65.92859,66.96984,62.66977,54.19461,61.16715,72.32076,65.84269
1972,65.842636,66.69289,63.254707,53.721977,60.403767,71.8339,65.34791
1973,66.00261,66.43741,63.83835,53.39345,59.632835,71.329994,64.91872
1974,66.68113,66.16053,64.195755,53.17443,58.773296,70.72434,64.52898
1975,67.81703,65.89846,64.337715,53.0363,57.940598,70.02516,64.18554
1976,69.077675,65.6488,64.42496,52.997356,57.0697,69.295,63.89604
1977,69.861786,65.41582,64.46303,53.087276,56.399418,68.58341,63.686016
1978,69.56304,65.17168,64.40697,53.267433,55.979935,67.891396,63.557842
1979,68.772705,64.904366,64.20381,53.52836,55.75886,67.203575,63.47888
1980,68.082695,64.66208,63.82382,53.84973,55.76137,66.55627,63.466686
1981,67.381615,64.4435,63.548832,54.198967,55.72607,65.99313,63.532757
1982,67.24941,64.24607,63.175514,54.611053,55.674686,65.526985,63.62987
1983,67.306305,64.07907,62.5663,55.084732,55.68156,65.27291,63.72791
1984,67.04499,63.9408,61.95409,55.605606,55.61289,65.075935,63.78743
1985,66.53054,63.79134,61.244507,56.147446,55.510513,64.801476,63.749767
1986,66.00341,63.605488,60.360996,56.64056,55.324947,64.55682,63.65742
1987,65.8108,63.38406,59.42362,57.00726,55.105553,64.39577,63.60096
1988,66.2608,63.18565,58.561874,57.22958,55.035843,64.228485,63.577908
1989,66.97744,63.087013,57.75394,57.36914,55.069897,64.108894,63.565136
1990,67.72919,63.119022,57.054432,57.49032,55.20207,64.12576,63.52213
1991,68.51955,63.25383,56.359287,57.608,55.45275,64.19005,63.39765
1992,69.29352,63.36493,55.80549,57.72699,55.721786,64.27213,63.127773
1993,70.22419,63.39295,55.467514,57.829914,56.007885,64.22697,62.73685
1994,71.12167,63.344173,55.249207,57.85635,56.267105,63.998627,62.312702
1995,71.78123,63.169453,55.197212,57.798046,56.401127,63.642445,61.869823
1996,72.22542,62.87647,55.042526,57.655144,56.4346,63.22965,61.38027
1997,72.37862,62.548042,54.78207,57.425343,56.42052,62.76888,60.82954
1998,72.492256,62.286545,54.58619,57.182697,56.468872,62.28717,60.254086
1999,72.63301,62.039986,54.43308,56.922966,56.653015,61.841793,59.699028
2000,72.55452,61.729168,54.316658,56.561104,56.94078,61.357418,59.163246
2001,72.26095,61.371758,54.214336,56.19069,57.26016,60.810337,58.645676
2002,71.77233,60.984245,54.16321,55.862694,57.52312,60.249714,58.143154
2003,71.19104,60.555855,54.18467,55.429356,57.729637,59.71886,57.611996
2004,70.62426,60.101093,54.252125,54.85737,57.892513,59.167046,57.05203
2005,70.046295,59.69805,54.310177,54.210938,57.94755,58.59542,56.477016
2006,69.75063,59.374065,54.30658,53.499496,57.355556,58.0302,55.902752
2007,69.83872,59.080227,54.270863,52.691936,56.67282,57.430088,55.36343
2008,69.99084,58.78062,54.231396,51.868248,55.873,56.810715,55.022007
2009,70.24295,58.47431,54.13701,51.18161,55.001694,56.259766,54.72653
2010,70.69163,58.160385,53.980217,50.569954,54.09517,55.809677,54.484333
2011,70.9412,57.890686,53.770275,49.652943,53.183792,55.367355,54.27274
2012,71.11779,57.67517,53.506203,48.783283,52.307243,54.820423,54.07517
2013,71.08862,57.32137,53.20043,48.03096,51.46866,54.24091,53.880898
2014,71.00753,56.94644,52.850266,47.333443,50.665474,53.655357,53.679478
2015,71.020294,56.614506,52.429173,46.6041,49.840374,53.13154,53.47506
2016,70.95873,56.184666,52.01777,45.86977,NA,52.644833,53.269978
2017,70.8254,55.79775,51.571503,45.202705,NA,52.16176,53.065136
2018,70.60711,55.52061,51.04033,44.64474,NA,51.606834,52.861782
2019,70.28866,55.222275,50.514313,44.184597,NA,50.990543,52.657696
2020,69.964340000000007,54.913433,49.966488,43.79708,NA,50.379833,52.46964
2021,69.53815,NA,NA,NA,NA,49.729656,52.27983
2022,NA,NA,NA,NA,NA,NA,52.07864
